Kenwoorden
waterstof
ammoniak
kunstmest
methanol
elektriciteit
warmte
LNG
kolen
biogas
groengas
ijzerpoeder
pyrolyse
elektrolyzer
elektrische industriele boiler
industriele Warmtepomp
damprecompressie
elektrisch kraken
Hydrogen Breakthrough Ironmaking Technology
recycling
ijzer
zonneveld
windmolenpark
CCS
CCU
opslagVeld
gasOpslag
waterstof Opslag
Compressed Air Storage
grote batterij opslag
staal
chemie
kunstmest
papier
raffinage
glastuinbouw
warmtenet
CO2 net
CO2-net
hoogspannings net
energietransitie
tata
DOW
Sabic
Chemelot
OCI Nitrogen
Shell
BP
Zeeland Refinary
Yara
Airliquide
Airproducts
Esso
Gunvor
Bavaria
FrieslandCampina
Smurfit
Parenco
