Zoekwoorden
naam
installatie jaar
datum
KoppelNetId
RES-regio
Vestigingsnummer
KvK-nummer
eigenaar
eigenaren
stakeholders
gemeente
gemeneten
status
aantal woningen
Ubouw_m2
kas-ha
lengte m
type lengte
diameter
debiet m3ph
vermogen MW
vollast uren
capaciteit MWh
eenheid
ruimte ha
CO2 ktpa vermeden
bookmark
lat
lng
wkt
profiel
radius
Minor Capital Expenditure
opex Europe
soort
subSoort
CO2 ktpa
energie GWhpa
